,FinalType,Competitors,NOC,Time,500 m,"1,000 m","1,500 m","500-1,000 m","1,000-1,500 m","1,500-2,000 m",Rank,Boat,Year,City
2,Final B,People's Republic of China,CHN,6:39.51,1:36.24,3:16.52,4:57.67,1:40.28,1:41.15,1:41.84,8,W4x,2000,NewSouthWales
4,Final B,Romania,ROU,6:46.78,1:38.73,3:21.85,5:04.92,1:43.12,1:43.07,1:41.86,9,W4x,2000,NewSouthWales
0,Final A,Germany,GER,6:29.29,1:34.63,3:12.21,4:50.79,1:37.58,1:38.58,1:38.50,1,W4x,2004,SchiniasNationalPark
2,Final A,Great Britain,GBR,6:31.26,1:35.81,3:14.94,4:53.78,1:39.13,1:38.84,1:37.48,2,W4x,2004,SchiniasNationalPark
4,Final A,Australia,AUS,6:34.73,1:35.16,3:14.13,4:54.86,1:38.97,1:40.73,1:39.87,3,W4x,2004,SchiniasNationalPark
6,Final A,Russian Federation,RUS,6:36.49,1:34.97,3:15.58,4:57.13,1:40.61,1:41.55,1:39.36,4,W4x,2004,SchiniasNationalPark
8,Final A,United States,USA,6:39.67,1:37.49,3:17.37,4:57.86,1:39.88,1:40.49,1:41.81,5,W4x,2004,SchiniasNationalPark
10,Final A,Ukraine,UKR,[6:34.35],–,–,–,–,–,–,6,W4x,2004,SchiniasNationalPark
0,Final B,Denmark,DEN,6:50.13,1:38.92,3:22.33,5:06.28,1:43.41,1:43.95,1:43.85,7,W4x,2004,SchiniasNationalPark
2,Final B,Belarus,BLR,6:54.02,1:39.95,3:24.74,5:09.86,1:44.79,1:45.12,1:44.16,8,W4x,2004,SchiniasNationalPark
0,Final A,People's Republic of China,CHN,6:16.06,1:31.59,3:06.86,4:43.60,1:35.27,1:36.74,1:32.46,1,W4x,2008,Shunyi
2,Final A,Great Britain,GBR,6:17.37,1:29.98,3:05.85,4:42.13,1:35.87,1:36.28,1:35.24,2,W4x,2008,Shunyi
4,Final A,Germany,GER,6:19.56,1:31.29,3:07.59,4:44.89,1:36.30,1:37.30,1:34.67,3,W4x,2008,Shunyi
6,Final A,Ukraine,UKR,6:20.02,1:32.99,3:09.37,4:46.30,1:36.38,1:36.93,1:33.72,4,W4x,2008,Shunyi
8,Final A,United States,USA,6:25.86,1:33.67,3:10.06,4:47.76,1:36.39,1:37.70,1:38.10,5,W4x,2008,Shunyi
10,Final A,Australia,AUS,6:30.05,1:34.24,3:12.08,4:51.38,1:37.84,1:39.30,1:38.67,6,W4x,2008,Shunyi
0,Final B,Russian Federation,RUS,6:28.10,1:35.51,3:13.06,4:51.37,1:37.55,1:38.31,1:36.73,7,W4x,2008,Shunyi
2,Final B,Canada,CAN,6:28.78,1:37.45,3:14.43,4:51.84,1:36.98,1:37.41,1:36.94,8,W4x,2008,Shunyi
0,Final A,Ukraine,UKR,6:35.93,1:34.87,3:14.25,4:55.07,1:39.38,1:40.82,1:40.86,1,W4x,2012,Windsor
2,Final A,Germany,GER,6:38.09,1:36.92,3:17.16,4:57.88,1:40.24,1:40.72,1:40.21,2,W4x,2012,Windsor
4,Final A,United States,USA,6:40.63,1:36.76,3:16.97,4:58.14,1:40.21,1:41.17,1:42.49,3,W4x,2012,Windsor
6,Final A,Australia,AUS,6:41.67,1:37.47,3:19.63,5:01.22,1:42.16,1:41.59,1:40.45,4,W4x,2012,Windsor
8,Final A,People's Republic of China,CHN,6:44.19,1:38.43,3:21.86,5:04.53,1:43.43,1:42.67,1:39.66,5,W4x,2012,Windsor
10,Final A,Great Britain,GBR,6:51.54,1:40.17,3:23.44,5:07.26,1:43.27,1:43.82,1:44.28,6,W4x,2012,Windsor
0,Final B,New Zealand,NZL,6:56.46,1:42.43,3:26.92,5:12.15,1:44.49,1:45.23,1:44.31,7,W4x,2012,Windsor
2,Final B,Poland,POL,6:57.20,1:41.58,3:26.72,5:11.46,1:45.14,1:44.74,1:45.74,8,W4x,2012,Windsor
0,Final A,Germany,GER,6:49.39,1:41.31,3:26.31,5:10.47,1:45.00,1:44.16,1:38.92,1,W4x,2016,RiodeJaneiro
2,Final A,Netherlands,NED,6:50.33,1:41.31,3:26.39,5:11.19,1:45.08,1:44.80,1:39.14,2,W4x,2016,RiodeJaneiro
4,Final A,Poland,POL,6:50.86,1:39.99,3:24.02,5:08.99,1:44.03,1:44.97,1:41.87,3,W4x,2016,RiodeJaneiro
6,Final A,Ukraine,UKR,6:56.09,1:42.04,3:27.32,5:13.24,1:45.28,1:45.92,1:42.85,4,W4x,2016,RiodeJaneiro
8,Final A,United States,USA,6:57.67,1:43.24,3:29.06,5:13.32,1:45.82,1:44.26,1:44.35,5,W4x,2016,RiodeJaneiro
10,Final A,People's Republic of China,CHN,6:59.45,1:44.40,3:33.35,5:20.15,1:48.95,1:46.80,1:39.30,6,W4x,2016,RiodeJaneiro
0,Final A,People's Republic of China,CHN,6:05.13,1:30.18,3:01.96,4:32.94,1:31.78,1:30.98,1:32.19,1,W4x,2021,Japan
2,Final A,Poland,POL,6:11.36,1:32.04,3:06.65,4:39.57,1:34.61,1:32.92,1:31.79,2,W4x,2021,Japan
4,Final A,Australia,AUS,6:12.08,1:33.08,3:07.10,4:40.57,1:34.02,1:33.47,1:31.51,3,W4x,2021,Japan
6,Final A,Italy,ITA,6:13.33,1:34.34,3:08.59,4:42.12,1:34.25,1:33.53,1:31.21,4,W4x,2021,Japan
8,Final A,Germany,GER,6:13.41,1:30.89,3:03.93,4:37.01,1:33.04,1:33.08,1:36.40,5,W4x,2021,Japan
10,Final A,Netherlands,NED,6:15.75,1:31.79,3:05.58,4:40.54,1:33.79,1:34.96,1:35.21,6,W4x,2021,Japan
0,Final B,Great Britain,GBR,6:25.14,1:35.05,3:11.90,4:49.33,1:36.85,1:37.43,1:35.81,7,W4x,2021,Japan
2,Final B,New Zealand,NZL,6:29.00,1:36.12,3:14.41,4:52.32,1:38.29,1:37.91,1:36.68,8,W4x,2021,Japan
4,Final B,France,FRA,6:29.70,1:37.35,3:17.31,4:55.32,1:39.96,1:38.01,1:34.38,9,W4x,2021,Japan
6,Final B,United States,USA,6:30.03,1:37.02,3:14.72,4:53.53,1:37.70,1:38.81,1:36.50,10,W4x,2021,Japan
0,Final A,East Germany,GDR,5:49.05,1:22.32,2:47.65,4:18.62,1:25.33,1:30.97,1:30.43,1,M8+,1980,Moskva
2,Final A,Great Britain,GBR,5:51.92,1:21.73,2:51.09,4:21.73,1:29.36,1:30.64,1:30.19,2,M8+,1980,Moskva
4,Final A,Soviet Union,URS,5:52.66,1:22.00,2:50.23,4:23.37,1:28.23,1:33.14,1:29.29,3,M8+,1980,Moskva
6,Final A,Czechoslovakia,TCH,5:53.75,1:24.84,2:51.43,4:23.09,1:26.59,1:31.66,1:30.66,4,M8+,1980,Moskva
8,Final A,Australia,AUS,5:56.74,1:22.22,2:50.75,4:26.80,1:28.53,1:36.05,1:29.94,5,M8+,1980,Moskva
10,Final A,Bulgaria,BUL,6:04.05,1:22.48,2:53.87,4:27.60,1:31.39,1:33.73,1:36.45,6,M8+,1980,Moskva
0,Final B,Hungary,HUN,5:57.61,1:22.96,2:53.34,4:27.98,1:30.38,1:34.64,1:29.63,7,M8+,1980,Moskva
2,Final B,Cuba,CUB,6:14.98,1:27.48,3:02.28,4:32.83,1:34.80,1:30.55,1:42.15,8,M8+,1980,Moskva
0,Standalone Final,Canada,CAN,5:41.32,1:24.42,2:51.12,4:16.33,1:26.70,1:25.21,1:24.99,1,M8+,1984,California
2,Standalone Final,United States,USA,5:41.74,1:25.59,2:52.92,4:18.48,1:27.33,1:25.56,1:23.26,2,M8+,1984,California
4,Standalone Final,Australia,AUS,5:43.40,1:24.83,2:52.11,4:18.83,1:27.28,1:26.72,1:24.57,3,M8+,1984,California
6,Standalone Final,New Zealand,NZL,5:44.14,1:26.45,2:53.51,4:33.28,1:27.06,1:39.77,1:10.86,4,M8+,1984,California
8,Standalone Final,Great Britain,GBR,5:47.01,1:25.12,2:53.26,4:19.06,1:28.14,1:25.80,1:27.95,5,M8+,1984,California
10,Standalone Final,France,FRA,5:49.52,1:26.01,2:54.98,4:21.33,1:28.97,1:26.35,1:28.19,6,M8+,1984,California
12,Standalone Final,Chile,CHI,6:07.03,1:27.01,2:59.74,4:22.85,1:32.73,1:23.11,1:44.18,7,M8+,1984,California
0,Final A,West Germany,FRG,5:46.05,1:24.80,2:52.68,4:20.32,1:27.88,1:27.64,1:25.73,1,M8+,1988,Hanam
2,Final A,Soviet Union,URS,5:48.01,1:25.15,2:52.29,4:22.91,1:27.14,1:30.62,1:25.10,2,M8+,1988,Hanam
4,Final A,United States,USA,5:48.26,1:24.46,2:51.89,4:21.22,1:27.43,1:29.33,1:27.04,3,M8+,1988,Hanam
6,Final A,Great Britain,GBR,5:51.59,1:25.50,2:53.44,4:24.06,1:27.94,1:30.62,1:27.53,4,M8+,1988,Hanam
8,Final A,Australia,AUS,5:53.73,1:26.26,2:56.48,4:27.59,1:30.22,1:31.11,1:26.14,5,M8+,1988,Hanam
10,Final A,Canada,CAN,5:54.26,1:25.85,2:56.15,4:26.65,1:30.30,1:30.50,1:27.61,6,M8+,1988,Hanam
0,Final B,Italy,ITA,5:41.15,1:21.59,2:46.52,4:14.16,1:24.93,1:27.64,1:26.99,7,M8+,1988,Hanam
2,Final B,Bulgaria,BUL,5:49.99,1:21.32,2:47.72,4:18.10,1:26.40,1:30.38,1:31.89,8,M8+,1988,Hanam
4,Final B,Japan,JPN,5:55.52,1:26.49,2:54.69,4:24.83,1:28.20,1:30.14,1:30.69,9,M8+,1988,Hanam
6,Final B,Republic of Korea,KOR,6:16.73,1:27.83,3:02.40,4:40.03,1:34.57,1:37.63,1:36.70,10,M8+,1988,Hanam
0,Final A,Canada,CAN,5:29.53,1:20.23,2:43.36,4:07.30,1:23.13,1:23.94,1:22.23,1,M8+,1992,Bañolas
2,Final A,Romania,ROU,5:29.67,1:19.80,2:43.76,4:08.25,1:23.96,1:24.49,1:21.42,2,M8+,1992,Bañolas
4,Final A,Germany,GER,5:31.00,1:20.40,2:44.53,4:08.62,1:24.13,1:24.09,1:22.38,3,M8+,1992,Bañolas
6,Final A,United States,USA,5:33.18,1:21.31,2:45.80,4:10.53,1:24.49,1:24.73,1:22.65,4,M8+,1992,Bañolas
8,Final A,Australia,AUS,5:33.72,1:21.13,2:45.25,4:10.70,1:24.12,1:25.45,1:23.02,5,M8+,1992,Bañolas
10,Final A,Great Britain,GBR,5:39.92,1:21.65,2:47.31,4:14.00,1:25.66,1:26.69,1:25.92,6,M8+,1992,Bañolas
0,Final B,Denmark,DEN,5:41.61,1:21.87,2:47.85,4:15.55,1:25.98,1:27.70,1:26.06,7,M8+,1992,Bañolas
2,Final B,South Africa,RSA,5:42.58,1:22.17,2:48.50,4:16.79,1:26.33,1:28.29,1:25.79,8,M8+,1992,Bañolas
4,Final B,Italy,ITA,5:43.33,1:22.54,2:49.14,4:17.92,1:26.60,1:28.78,1:25.41,9,M8+,1992,Bañolas
6,Final B,Unified Team,EUN,5:43.52,1:24.21,2:51.48,4:19.20,1:27.27,1:27.72,1:24.32,10,M8+,1992,Bañolas
8,Final B,People's Republic of China,CHN,5:44.01,1:22.31,2:50.13,4:18.13,1:27.82,1:28.00,1:25.88,11,M8+,1992,Bañolas
10,Final B,Czechoslovakia,TCH,5:47.77,1:24.07,2:50.95,4:19.51,1:26.88,1:28.56,1:28.26,12,M8+,1992,Bañolas
0,Final C,Japan,JPN,6:02.44,1:23.84,2:54.22,4:29.01,1:30.38,1:34.79,1:33.43,13,M8+,1992,Bañolas
2,Final C,Spain,ESP,6:10.45,1:26.41,2:59.88,4:36.74,1:33.47,1:36.86,1:33.71,14,M8+,1992,Bañolas
0,Final A,Netherlands,NED,5:42.74,1:23.08,2:48.91,4:16.66,1:25.83,1:27.75,1:26.08,1,M8+,1996,Georgia
2,Final A,Germany,GER,5:44.58,1:22.72,2:48.63,4:17.66,1:25.91,1:29.03,1:26.92,2,M8+,1996,Georgia
4,Final A,Russian Federation,RUS,5:45.77,1:23.98,2:51.25,4:19.93,1:27.27,1:28.68,1:25.84,3,M8+,1996,Georgia
6,Final A,Canada,CAN,5:46.54,1:23.53,2:50.48,4:20.81,1:26.95,1:30.33,1:25.73,4,M8+,1996,Georgia
8,Final A,United States,USA,5:48.45,1:24.35,2:51.87,4:20.48,1:27.52,1:28.61,1:27.97,5,M8+,1996,Georgia
10,Final A,Australia,AUS,5:58.82,1:25.16,2:54.21,4:26.68,1:29.05,1:32.47,1:32.14,6,M8+,1996,Georgia
0,Final B,Romania,ROU,5:37.65,1:22.59,2:47.67,4:13.28,1:25.08,1:25.61,1:24.37,7,M8+,1996,Georgia
2,Final B,Great Britain,GBR,5:40.23,1:22.95,2:48.92,4:15.43,1:25.97,1:26.51,1:24.80,8,M8+,1996,Georgia
4,Final B,Italy,ITA,5:41.95,1:21.66,2:46.90,4:14.42,1:25.24,1:27.52,1:27.53,9,M8+,1996,Georgia
6,Final B,Ukraine,UKR,5:44.89,1:22.33,2:49.17,4:17.41,1:26.84,1:28.24,1:27.48,10,M8+,1996,Georgia
0,Final A,Great Britain,GBR,5:33.08,1:21.02,2:44.55,4:08.77,1:23.53,1:24.22,1:24.31,1,M8+,2000,NewSouthWales
2,Final A,Australia,AUS,5:33.88,1:23.96,2:47.91,4:12.36,1:23.95,1:24.45,1:21.52,2,M8+,2000,NewSouthWales
4,Final A,Croatia,CRO,5:34.85,1:21.62,2:45.66,4:10.90,1:24.04,1:25.24,1:23.95,3,M8+,2000,NewSouthWales
6,Final A,Italy,ITA,5:35.37,1:22.90,2:47.49,4:11.58,1:24.59,1:24.09,1:23.79,4,M8+,2000,NewSouthWales
8,Final A,United States,USA,5:39.16,1:24.37,2:48.88,4:13.82,1:24.51,1:24.94,1:25.34,5,M8+,2000,NewSouthWales
10,Final A,Romania,ROU,5:43.89,1:23.60,2:50.13,4:16.68,1:26.53,1:26.55,1:27.21,6,M8+,2000,NewSouthWales
0,Final B,Canada,CAN,5:36.30,1:22.32,2:46.94,4:12.35,1:24.62,1:25.41,1:23.95,7,M8+,2000,NewSouthWales
2,Final B,Netherlands,NED,5:36.63,1:24.19,2:49.66,4:14.73,1:25.47,1:25.07,1:21.90,8,M8+,2000,NewSouthWales
4,Final B,Russian Federation,RUS,5:42.72,1:22.79,2:49.92,4:17.06,1:27.13,1:27.14,1:25.66,9,M8+,2000,NewSouthWales
0,Final A,United States,USA,5:42.48,1:21.95,2:48.18,4:16.95,1:26.23,1:28.77,1:25.53,1,M8+,2004,SchiniasNationalPark
2,Final A,Netherlands,NED,5:43.75,1:23.58,2:52.44,4:19.16,1:28.86,1:26.72,1:24.59,2,M8+,2004,SchiniasNationalPark
4,Final A,Australia,AUS,5:45.38,1:22.86,2:51.44,4:19.73,1:28.58,1:28.29,1:25.65,3,M8+,2004,SchiniasNationalPark
6,Final A,Germany,GER,5:49.43,1:22.48,2:52.14,4:23.22,1:29.66,1:31.08,1:26.21,4,M8+,2004,SchiniasNationalPark
8,Final A,Canada,CAN,5:51.66,1:22.70,2:51.70,4:21.44,1:29.00,1:29.74,1:30.22,5,M8+,2004,SchiniasNationalPark
10,Final A,France,FRA,5:53.31,1:25.84,2:55.67,4:25.48,1:29.83,1:29.81,1:27.83,6,M8+,2004,SchiniasNationalPark
0,Final B,Italy,ITA,5:46.36,1:25.22,2:52.00,4:19.29,1:26.78,1:27.29,1:27.07,7,M8+,2004,SchiniasNationalPark
2,Final B,Poland,POL,5:50.68,1:22.15,2:48.00,4:18.25,1:25.85,1:30.25,1:32.43,8,M8+,2004,SchiniasNationalPark
4,Final B,Great Britain,GBR,5:55.77,1:25.72,2:55.39,4:25.79,1:29.67,1:30.40,1:29.98,9,M8+,2004,SchiniasNationalPark
0,Final A,Canada,CAN,5:23.89,1:18.79,2:39.82,4:02.53,1:21.03,1:22.71,1:21.36,1,M8+,2008,Shunyi
2,Final A,Great Britain,GBR,5:25.11,1:19.56,2:42.40,4:04.82,1:22.84,1:22.42,1:20.29,2,M8+,2008,Shunyi
4,Final A,United States,USA,5:25.34,1:21.09,2:43.75,4:05.13,1:22.66,1:21.38,1:20.21,3,M8+,2008,Shunyi
6,Final A,Netherlands,NED,5:29.26,1:19.98,2:43.15,4:07.76,1:23.17,1:24.61,1:21.50,4,M8+,2008,Shunyi
8,Final A,Poland,POL,5:31.42,1:20.42,2:44.46,4:09.03,1:24.04,1:24.57,1:22.39,5,M8+,2008,Shunyi
10,Final A,Australia,AUS,5:35.10,1:20.69,2:45.72,4:11.69,1:25.03,1:25.97,1:23.41,6,M8+,2008,Shunyi
0,Final B,People's Republic of China,CHN,5:34.59,1:21.23,2:44.79,4:10.22,1:23.56,1:25.43,1:24.37,7,M8+,2008,Shunyi
2,Final B,Germany,GER,5:36.89,1:23.48,2:47.88,4:12.94,1:24.40,1:25.06,1:23.95,8,M8+,2008,Shunyi
0,Final A,Germany,GER,5:48.75,1:24.81,2:53.90,4:22.27,1:29.09,1:28.37,1:26.48,1,M8+,2012,Windsor
2,Final A,Canada,CAN,5:49.98,1:26.13,2:55.49,4:23.92,1:29.36,1:28.43,1:26.06,2,M8+,2012,Windsor
4,Final A,Great Britain,GBR,5:51.18,1:25.15,2:54.33,4:22.54,1:29.18,1:28.21,1:28.64,3,M8+,2012,Windsor
6,Final A,United States,USA,5:51.48,1:27.11,3:00.53,4:25.07,1:33.42,1:24.54,1:26.41,4,M8+,2012,Windsor
8,Final A,Netherlands,NED,5:51.72,1:26.40,2:55.73,4:24.54,1:29.33,1:28.81,1:27.18,5,M8+,2012,Windsor
10,Final A,Australia,AUS,5:51.87,1:26.63,2:56.43,4:25.98,1:29.80,1:29.55,1:25.89,6,M8+,2012,Windsor
0,Final B,Poland,POL,5:57.67,1:25.08,2:54.86,4:26.52,1:29.78,1:31.66,1:31.15,7,M8+,2012,Windsor
2,Final B,Ukraine,UKR,6:07.33,1:26.79,2:58.79,4:33.59,1:32.00,1:34.80,1:33.74,8,M8+,2012,Windsor
0,Final A,Great Britain,GBR,5:29.63,1:20.39,2:41.54,4:06.37,1:21.15,1:24.83,1:23.26,1,M8+,2016,RiodeJaneiro
2,Final A,Germany,GER,5:30.96,1:21.03,2:43.99,4:08.91,1:22.96,1:24.92,1:22.05,2,M8+,2016,RiodeJaneiro
4,Final A,Netherlands,NED,5:31.59,1:21.75,2:44.31,4:08.99,1:22.56,1:24.68,1:22.60,3,M8+,2016,RiodeJaneiro
6,Final A,United States,USA,5:34.23,1:21.38,2:46.02,4:11.13,1:24.64,1:25.11,1:23.10,4,M8+,2016,RiodeJaneiro
8,Final A,Poland,POL,5:34.62,1:22.69,2:47.18,4:11.51,1:24.49,1:24.33,1:23.11,5,M8+,2016,RiodeJaneiro
10,Final A,New Zealand,NZL,5:36.64,1:21.28,2:44.02,4:11.45,1:22.74,1:27.43,1:25.19,6,M8+,2016,RiodeJaneiro
0,Final A,New Zealand,NZL,5:24.64,1:20.81,2:42.63,4:04.59,1:21.82,1:21.96,1:20.05,1,M8+,2021,Japan
2,Final A,Germany,GER,5:25.60,1:20.36,2:42.88,4:06.35,1:22.52,1:23.47,1:19.25,2,M8+,2021,Japan
4,Final A,Great Britain,GBR,5:25.73,1:20.51,2:42.70,4:05.90,1:22.19,1:23.20,1:19.83,3,M8+,2021,Japan
6,Final A,United States,USA,5:26.75,1:21.27,2:43.82,4:06.59,1:22.55,1:22.77,1:20.16,4,M8+,2021,Japan
8,Final A,Netherlands,NED,5:27.96,1:21.81,2:44.18,4:07.45,1:22.37,1:23.27,1:20.51,5,M8+,2021,Japan
10,Final A,Australia,AUS,5:36.23,1:22.30,2:45.64,4:10.91,1:23.34,1:25.27,1:25.32,6,M8+,2021,Japan
0,Standalone Final,East Germany,GDR,3:03.32,,,,,,,1,W8+,1980,Moskva
2,Standalone Final,Soviet Union,URS,3:04.29,,,,,,,2,W8+,1980,Moskva
4,Standalone Final,Romania,ROU,3:05.63,,,,,,,3,W8+,1980,Moskva
6,Standalone Final,Bulgaria,BUL,3:10.03,,,,,,,4,W8+,1980,Moskva
8,Standalone Final,Great Britain,GBR,3:13.85,,,,,,,5,W8+,1980,Moskva
0,Standalone Final,East Germany,GDR,6:15.17,1:30.43,3:04.64,4:41.68,1:34.21,1:37.04,1:33.49,1,W8+,1988,Hanam
2,Standalone Final,Romania,ROU,6:17.44,1:32.67,3:10.65,4:44.34,1:37.98,1:33.69,1:33.10,2,W8+,1988,Hanam
4,Standalone Final,People's Republic of China,CHN,6:21.83,1:31.76,3:08.72,4:48.78,1:36.96,1:40.06,1:33.05,3,W8+,1988,Hanam
6,Standalone Final,Soviet Union,URS,6:22.35,1:29.33,3:06.20,4:46.82,1:36.87,1:40.62,1:35.53,4,W8+,1988,Hanam
8,Standalone Final,Bulgaria,BUL,6:25.02,1:31.18,3:07.84,4:48.39,1:36.66,1:40.55,1:36.63,5,W8+,1988,Hanam
10,Standalone Final,United States,USA,6:26.66,1:32.27,3:09.19,4:50.01,1:36.92,1:40.82,1:36.65,6,W8+,1988,Hanam
0,Final A,Canada,CAN,6:02.62,1:29.16,2:59.71,4:31.90,1:30.55,1:32.19,1:30.72,1,W8+,1992,Bañolas
2,Final A,Romania,ROU,6:06.26,1:29.81,3:02.20,4:34.94,1:32.39,1:32.74,1:31.32,2,W8+,1992,Bañolas
4,Final A,Germany,GER,6:07.80,1:28.79,3:01.23,4:34.74,1:32.44,1:33.51,1:33.06,3,W8+,1992,Bañolas
6,Final A,Unified Team,EUN,6:09.68,1:28.52,3:01.53,4:35.68,1:33.01,1:34.15,1:34.00,4,W8+,1992,Bañolas
8,Final A,People's Republic of China,CHN,6:12.08,1:29.75,3:02.72,4:37.86,1:32.97,1:35.14,1:34.22,5,W8+,1992,Bañolas
10,Final A,United States,USA,6:12.25,1:30.05,3:03.64,4:38.91,1:33.59,1:35.27,1:33.34,6,W8+,1992,Bañolas
0,Final B,Great Britain,GBR,6:29.68,1:30.30,3:08.28,4:50.60,1:37.98,1:42.32,1:39.08,7,W8+,1992,Bañolas
2,Final B,Czechoslovakia,TCH,6:31.12,1:31.89,3:10.05,4:50.84,1:38.16,1:40.79,1:40.28,8,W8+,1992,Bañolas
0,Final A,Romania,ROU,6:19.73,1:32.24,3:07.92,4:44.70,1:35.68,1:36.78,1:35.03,1,W8+,1996,Georgia
2,Final A,Canada,CAN,6:24.05,1:34.33,3:12.04,4:49.72,1:37.71,1:37.68,1:34.33,2,W8+,1996,Georgia
4,Final A,Belarus,BLR,6:24.44,1:33.83,3:10.52,4:48.95,1:36.69,1:38.43,1:35.49,3,W8+,1996,Georgia
6,Final A,United States,USA,6:26.19,1:35.05,3:11.44,4:50.15,1:36.39,1:38.71,1:36.04,4,W8+,1996,Georgia
8,Final A,Australia,AUS,6:30.10,1:36.58,3:14.53,4:53.30,1:37.95,1:38.77,1:36.80,5,W8+,1996,Georgia
10,Final A,Netherlands,NED,6:31.11,1:36.22,3:14.53,4:54.42,1:38.31,1:39.89,1:36.69,6,W8+,1996,Georgia
0,Final B,Great Britain,GBR,6:15.21,1:31.31,3:06.89,4:41.98,1:35.58,1:35.09,1:33.23,7,W8+,1996,Georgia
2,Final B,Germany,GER,6:17.73,1:31.57,3:07.14,4:42.86,1:35.57,1:35.72,1:34.87,8,W8+,1996,Georgia
0,Standalone Final,Romania,ROU,6:06.44,1:30.38,3:02.20,4:34.89,1:31.82,1:32.69,1:31.55,1,W8+,2000,NewSouthWales
